date,kp_avg,kp_max
2018-08-01,1.38,2.333
2018-08-02,1.17,2.667
2018-08-03,1.29,2.667
2018-08-04,1.08,2.0
2018-08-05,0.96,2.0
2018-08-06,0.58,1.0
2018-08-07,2.21,3.0
2018-08-08,1.12,1.667
2018-08-09,0.88,1.333
2018-08-10,0.79,1.333
2018-08-11,2.17,3.667
2018-08-12,1.29,2.0
2018-08-13,0.83,1.333
2018-08-14,0.75,1.333
2018-08-15,2.58,4.0
2018-08-16,2.29,3.667
2018-08-17,2.42,4.0
2018-08-18,2.17,3.333
2018-08-19,1.87,2.667
2018-08-20,2.83,4.0
2018-08-21,1.79,2.667
2018-08-22,1.25,2.333
2018-08-23,0.83,1.667
2018-08-24,1.04,2.667
2018-08-25,2.29,4.333
2018-08-26,5.29,7.333
2018-08-27,3.38,5.667
2018-08-28,1.79,3.667
2018-08-29,1.42,2.333
2018-08-30,0.79,1.667
2018-08-31,1.04,2.333
2018-09-01,0.92,2.0
2018-09-02,1.17,2.0
2018-09-03,0.92,1.333
2018-09-04,1.92,3.0
2018-09-05,2.17,3.333
2018-09-06,1.17,2.0
2018-09-07,1.12,2.333
2018-09-08,0.88,2.333
2018-09-09,1.54,2.667
2018-09-10,2.58,5.0
2018-09-11,4.04,6.0
2018-09-12,2.08,4.0
2018-09-13,3.12,4.0
2018-09-14,2.75,4.333
2018-09-15,1.79,2.667
2018-09-16,1.29,2.333
2018-09-17,2.46,3.333
2018-09-18,1.42,2.333
2018-09-19,0.75,2.333
2018-09-20,0.21,0.667
2018-09-21,1.17,4.333
2018-09-22,3.92,4.667
2018-09-23,2.33,3.333
2018-09-24,1.58,2.333
2018-09-25,2.29,3.0
2018-09-26,1.71,2.667
2018-09-27,1.46,2.333
2018-09-28,1.54,3.0
2018-09-29,2.17,3.333
2018-09-30,1.17,2.333
2018-10-01,1.83,3.667
2018-10-02,1.58,3.667
2018-10-03,1.13,2.333
2018-10-04,0.92,1.667
2018-10-05,2.0,3.0
2018-10-06,0.88,3.0
2018-10-07,2.92,5.333
2018-10-08,3.21,4.333
2018-10-09,3.08,3.667
2018-10-10,2.71,4.667
2018-10-11,2.17,3.0
2018-10-12,1.29,1.667
2018-10-13,2.29,4.333
2018-10-14,1.38,2.0
2018-10-15,2.29,3.0
2018-10-16,1.21,2.0
2018-10-17,0.5,1.667
2018-10-18,0.08,0.333
2018-10-19,0.29,0.667
2018-10-20,0.12,0.333
2018-10-21,1.04,2.0
2018-10-22,1.29,2.667
2018-10-23,0.58,1.0
2018-10-24,0.71,1.333
2018-10-25,1.42,2.0
2018-10-26,1.54,2.333
2018-10-27,0.71,1.667
2018-10-28,0.67,1.333
2018-10-29,0.17,0.333
2018-10-30,0.83,2.0
2018-10-31,0.88,1.667
2018-11-01,1.17,2.0
2018-11-02,0.92,2.667
2018-11-03,0.83,2.0
2018-11-04,2.08,5.333
2018-11-05,4.04,5.667
2018-11-06,1.62,3.667
2018-11-07,2.08,3.333
2018-11-08,2.17,4.0
2018-11-09,2.04,4.0
2018-11-10,2.54,4.333
2018-11-11,1.71,3.0
2018-11-12,2.17,3.333
2018-11-13,0.67,2.0
2018-11-14,0.67,1.333
2018-11-15,0.25,0.667
2018-11-16,0.17,1.0
2018-11-17,0.17,0.667
2018-11-18,0.5,1.0
2018-11-19,1.08,1.667
2018-11-20,1.21,3.0
2018-11-21,1.0,2.667
2018-11-22,0.37,1.0
2018-11-23,0.46,1.0
2018-11-24,0.67,1.667
2018-11-25,0.58,1.0
2018-11-26,0.33,0.667
2018-11-27,1.29,2.333
2018-11-28,0.46,1.0
2018-11-29,0.5,2.0
2018-11-30,0.37,1.333
2018-12-01,1.42,3.0
2018-12-02,2.38,3.667
2018-12-03,2.04,3.0
2018-12-04,1.88,3.0
2018-12-05,1.12,2.0
2018-12-06,1.21,2.0
2018-12-07,2.25,3.333
2018-12-08,2.38,3.333
2018-12-09,1.92,3.667
2018-12-10,2.21,3.0
2018-12-11,1.83,2.667
2018-12-12,0.96,2.0
2018-12-13,0.29,1.0
2018-12-14,0.29,0.667
2018-12-15,0.21,0.333
2018-12-16,0.37,0.667
2018-12-17,1.25,2.333
2018-12-18,1.58,2.667
2018-12-19,1.38,2.0
2018-12-20,2.33,3.0
2018-12-21,1.08,2.0
2018-12-22,0.38,1.0
2018-12-23,0.29,0.667
2018-12-24,0.5,1.333
2018-12-25,0.79,1.667
2018-12-26,0.33,1.0
2018-12-27,0.79,2.333
2018-12-28,3.58,4.333
2018-12-29,2.25,3.0
2018-12-30,2.25,3.0
2018-12-31,1.62,3.0
2019-01-01,1.21,2.667
2019-01-02,0.08,0.333
2019-01-03,0.25,1.0
2019-01-04,1.92,3.333
2019-01-05,2.83,5.0
2019-01-06,2.25,3.0
2019-01-07,1.5,2.333
2019-01-08,1.42,2.333
2019-01-09,0.96,1.667
2019-01-10,0.75,1.333
2019-01-11,1.37,3.333
2019-01-12,0.42,1.0
2019-01-13,0.54,1.0
2019-01-14,1.71,2.667
2019-01-15,1.17,2.667
2019-01-16,1.25,2.667
2019-01-17,1.67,2.667
2019-01-18,1.29,2.0
2019-01-19,0.92,2.667
2019-01-20,0.79,1.667
2019-01-21,0.71,1.667
2019-01-22,0.67,2.0
2019-01-23,2.67,4.0
2019-01-24,3.0,4.333
2019-01-25,2.62,3.333
2019-01-26,1.58,3.0
2019-01-27,1.0,2.0
2019-01-28,0.21,0.667
2019-01-29,0.38,1.667
2019-01-30,0.25,1.0
2019-01-31,2.21,5.333
2019-02-01,3.0,3.667
2019-02-02,3.04,4.0
2019-02-03,2.25,3.333
2019-02-04,1.25,3.0
2019-02-05,1.0,3.0
2019-02-06,2.04,2.667
2019-02-07,1.0,2.0
2019-02-08,1.83,3.667
2019-02-09,2.12,3.0
2019-02-10,1.21,2.667
2019-02-11,1.88,3.0
2019-02-12,1.12,2.333
2019-02-13,2.58,3.667
2019-02-14,2.04,3.333
2019-02-15,0.75,2.333
2019-02-16,0.75,2.0
2019-02-17,0.71,2.333
2019-02-18,1.33,3.0
2019-02-19,0.5,1.0
2019-02-20,0.62,1.667
2019-02-21,2.29,3.667
2019-02-22,0.79,2.0
2019-02-23,0.33,1.0
2019-02-24,0.29,1.0
2019-02-25,0.25,0.667
2019-02-26,0.42,1.0
2019-02-27,2.0,4.0
2019-02-28,3.58,4.667
2019-03-01,3.67,4.333
2019-03-02,2.62,4.0
2019-03-03,1.38,2.667
2019-03-04,1.54,2.333
2019-03-05,1.08,2.333
2019-03-06,1.67,3.0
2019-03-07,1.42,2.667
2019-03-08,1.04,2.667
2019-03-09,1.08,2.333
2019-03-10,0.79,2.333
2019-03-11,0.46,1.333
2019-03-12,1.54,2.667
2019-03-13,0.83,1.667
2019-03-14,1.58,3.0
2019-03-15,1.63,2.667
2019-03-16,2.33,4.667
2019-03-17,2.5,4.667
2019-03-18,0.46,0.667
2019-03-19,1.58,2.667
2019-03-20,1.25,1.667
2019-03-21,0.29,1.0
2019-03-22,0.17,0.667
2019-03-23,0.17,1.0
2019-03-24,0.29,2.0
2019-03-25,1.12,2.333
2019-03-26,1.04,2.333
2019-03-27,1.67,2.667
2019-03-28,2.17,3.0
2019-03-29,1.75,2.0
2019-03-30,0.71,2.0
2019-03-31,2.04,3.667
2019-04-01,1.67,2.667
2019-04-02,1.21,3.333
2019-04-03,2.33,3.333
2019-04-04,2.21,3.667
2019-04-05,2.63,3.333
